wemude,zohavog,somif,lufusuq,gojajon
-15.580955039525094,-14.925213646433358,-14.961332485099831,-14.294297929107074,-15.271598311419307
-15.83154418674432,-15.204684405909422,-15.131648932582557,-15.001829162564977,-12.80746726182159
-16.010168353584856,-13.134090501002195,-15.305060883587958,-15.502088822660925,-13.714833517771815
-16.22107154590154,-13.763929203175156,-15.450727586030691,-16.045809105134722,-12.13176757764273
-16.371420662762652,-12.384992932319264,-15.570050487458095,-16.469332501137817,-12.812828800475245
-14.179093261404526,-13.071215569842996,-15.777385134775479,-16.992377383918186,-13.362353649375315
-14.781168220706256,-13.616637515377928,-13.328353927435641,-17.326719046213803,-13.787906632568498
-15.427080040051749,-14.096312645786103,-12.025888963656502,-17.649352522989815,-14.192996675597003
-15.929165227259906,-12.252799692918309,-13.357326980150495,-17.954655054838568,-14.548217068291953
-16.1439032197575,-12.704618518053271,-12.458357711100284,-18.26902906532755,-14.732459319290978
-16.435075850758693,-13.094266275117489,-12.169072383048798,-18.48068722115919,-14.956657302207233
-16.697861283090553,-13.397736421586737,-13.22809125121964,-16.368345704721083,-15.216467407288482
-16.954338656066884,-13.860775017146501,-12.611527397455168,-17.23426649494407,-15.413806162277766
-17.195726042281485,-14.1720435889688,-12.127469178879153,-17.82789643915443,-15.71652203161577
-17.38244177748838,-14.5108241690387,-12.860064780222745,-18.49743693744757,-13.937108107018295
-17.4806059460285,-13.787667968267122,-13.481974042497708,-18.962724544787164,-14.32415221134758
-17.697673285441134,-14.303018349220611,-13.06698952296174,-19.2720357252963,-14.728569848412256
-15.739218950924814,-14.810678892379595,-13.644782853695792,-19.53640779321739,-15.01965641512714
-16.296634378062315,-15.102136787353105,-13.029088496326757,-19.75555279179236,-15.326518689682443
-16.732901015103785,-13.802483159296377,-13.57528806151924,-20.06934738870096,-15.590555008734313
-17.19564251037267,-14.009084181792153,-12.888265546062499,-20.36626181678087,-15.840272814067037
-17.552147581268958,-14.320384661690689,-12.728767797621932,-20.64398728873645,-16.071054675770025
-17.865529603028232,-14.597264081348062,-12.315444266494696,-20.90465394891914,-16.281413023708605
-18.189492657675824,-14.795474908369357,-13.19868583881217,-19.206188468717276,-16.415851997859296
-18.606487694019947,-15.090158798167721,-13.830627421148755,-17.607296493805894,-16.514143903949677
-15.099765242464741,-15.349638518139965,-14.316155888160722,-18.299082974142365,-16.590132256285603
-16.317513664884533,-15.69004884858642,-13.660383067852882,-17.22427648797692,-16.723332267619504
-16.844651553634616,-15.991143149117448,-12.502498257145055,-17.9157743380753,-16.84784322245886
-15.125543577288626,-16.27451623901084,-13.13090673570467,-18.486136923492445,-16.970317470156957
-14.94080890046407,-16.55567081851511,-13.238502577631737,-17.730374009091953,-16.721909446124958
-14.386535957450384,-15.02849980544178,-13.559637446059142,-18.58380318287799,-16.853979937445157
-15.0636926887243,-14.290767358910294,-13.780330022803314,-18.111775880056754,-17.03104469771928
-16.055558903099655,-14.05157267064824,-14.142924687188017,-17.588838471472187,-16.794768300841955
-15.290091476077492,-13.780833879220237,-13.888587293729783,-18.47693541962504,-16.744578690630863
-14.92012690462282,-14.557801139866813,-14.34641927837559,-17.399420788430376,-16.86993355438706
-15.343322113646968,-12.787067307167483,-14.457167589431824,-18.719265903876718,-17.0288701644844
-15.266676251972992,-10.689575183810934,-14.056520240155745,-19.52511500945253,-17.21016229645232
-14.332979807759466,-11.30169375575393,-14.674352508121634,-20.017421451850076,-11.099064918476508
-15.123056093493254,-10.516426040736572,-14.933443854935804,-20.85158316880207,-11.485437746114469
-15.646459825117319,-10.369420814453257,-14.78411155238192,-21.689212397851925,-12.083876301565
-14.13680185688894,-10.238760402620482,-15.517502407990532,-22.498928325123263,-12.30185151038617
-14.529394102598726,-11.01203067153555,-16.17077817693609,-23.27603782104807,-7.936937556478502
-15.031198677440829,-10.822623473569257,-15.78469058860385,-23.901607793587395,-8.620968026095447
-14.436070166429767,-11.207389124713302,-15.643503845114088,-24.415386794563076,-8.88203287069964
-15.089307167148737,-11.637086593212196,-16.393682534784197,-22.606146861345575,-8.040101393328243
-15.598957923210506,-12.060444419285966,-17.003889529972056,-23.656851634499294,-5.775245573278308
-15.956582598162719,-12.44112489793113,-15.641147443454498,-24.5762101679302,-6.166533372507534
-16.559331486820202,-12.236663611642875,-16.296471505950407,-23.176111893029983,-6.568582384694184
-17.081254815142415,-12.154418318023183,-16.220745939184322,-23.932776975837633,-6.688415156685447
-17.507962022707467,-11.931452092913247,-16.870920741851933,-23.06223196327661,-6.981850523998692
-17.90246328210983,-11.40909263402024,-17.528061846390457,-22.192344754349737,-7.268211597065912
-15.874827540622507,-12.19144166966732,-17.977621725184356,-23.203037511171566,-7.517582967655198
-15.43437952673381,-12.786743579165265,-18.340056684514018,-24.063331145709224,-7.067455272497953
-16.66811469975041,-13.175994262473763,-17.887580592993757,-23.620680795589667,-7.465541276114652
-16.598718603348278,-12.912439992416232,-18.24033543014379,-25.232928731569174,-7.700364059436951
-17.956544433646012,-13.448386370048695,-17.886272742758408,-24.678483182421875,-7.997425994252215
-17.813408675228285,-13.996564473319928,-18.325702087367137,-26.64515848299213,-7.2046590139005335
-19.416100450666296,-13.683089948984511,-18.771012553126475,-26.686059081679243,-6.430854295901611
-19.73239371156761,-14.141237013485773,-18.323446849605553,-28.25624594181354,-6.196481932396245
-19.868557960584077,-13.718590711574919,-18.81731380599725,-29.761143259463527,-5.84881657048059
-20.795902534293607,-13.742043927454798,-18.81382754046843,-29.683859778087637,-3.965820710622078
-21.425739915032,-13.239593747400182,-19.53268816698235,-28.840274491731208,-3.577743167613797
-21.474376917175338,-13.063801013738011,-19.30281230579108,-29.695231482921674,-3.022268648619204
-21.73829149073471,-12.740823957897824,-18.79490726254873,-31.438469756134143,-3.1341719544673285
-21.051542829826385,-12.941177774021225,-19.53519352835531,-32.911868305339695,-2.780027220589036
-22.074826903972387,-13.57004658373421,-19.34478437360114,-31.074171153866224,-2.9551274890209167
-23.031093455422063,-13.608211506115566,-18.273511984488763,-32.89905505374109,-2.7596229978723676
-23.039759694558317,-13.341322071400889,-18.96383787378303,-33.11498279766614,-2.563206461234288
-22.797727813292617,-13.179523132159915,-19.012548593253065,-33.510401516999075,-2.782302814740385
-23.748437954043634,-13.43811632792994,-19.21882200890821,-34.67490920508515,-1.8060202051221586
-23.81287584820969,-13.219341671370257,-19.79324581124516,-35.646898728353364,-1.9643197254750275
-25.02225508373751,-13.744202971754383,-18.71064991856943,-37.40134234717193,-1.8429190749459927
-25.430951354367206,-14.234459674789713,-19.409292505225398,-37.63537136394038,-1.7756931933788547
-26.489694602695078,-13.473751410343208,-20.44757688272435,-39.121674467186125,-0.7550266652850347
-26.965437259619193,-13.079307616606282,-20.13127642182641,-40.67155049691513,-0.8305383896186003
-27.93824377514115,-13.274923136563698,-20.417184039506726,-42.1182205912717,-0.3049736205422101
-27.682331710664325,-13.568501305411555,-20.34915631098212,-43.38941805495195,-0.3618575416732675
-28.33108830844282,-13.666497858716724,-20.52848843926606,-43.21883950448501,-0.411851151515901
-28.812823666096733,-13.273358520752916,-20.811956008486195,-45.28346839268512,0.07919489793942765
-29.657386587017978,-12.97824428188282,-20.52759333587073,-46.92184192981624,0.12219547548801891
-30.489471244860784,-13.568585181177395,-20.930827231524507,-47.52565568004289,0.7414657737707228
-30.823400471031988,-14.351433542858945,-21.48477626143363,-48.88240598236295,1.3604502227264814
-31.28797903927943,-13.71313018447149,-22.814765383758537,-50.06231851471869,1.567129681488546
-32.337803518611544,-14.16794220744284,-22.798884886638188,-52.82599358639671,2.087075364951031
-34.16179008991159,-14.584184146128615,-23.392354057774458,-52.029013375344036,2.3241943085686896
-35.48889619200595,-15.090356017719513,-23.54635037261221,-52.490985901304285,2.5412581467208515
-35.12581963829812,-15.488885657376338,-23.759067953742104,-55.456515266856805,2.728727267926981
-35.19388698152722,-16.109894870216642,-23.18548518644266,-56.216423976315134,2.785080928974424
-36.148038412952275,-16.198432620798233,-24.18661971461528,-56.8995418788493,2.850976460516393
-36.37695310953569,-16.874339888258657,-24.75242347062233,-58.542510051925596,3.292163919845409
-37.8056404452088,-17.32668506619025,-24.654842269436163,-58.09498937726988,3.7699975770898497
-38.402782043221855,-17.400208595284113,-25.38047493345559,-57.259231026969324,4.220922166373204
-38.254446817641906,-17.860136278790108,-26.21421845512863,-55.107430132166705,4.573295654224021
-38.51313572815162,-18.147923602964934,-26.37336482411777,-56.30492261525247,5.03764697815085
-38.63387396933835,-18.650361740908227,-27.347432335258837,-57.63600056670424,5.313784169218345
-40.46770099611712,-19.057029103880318,-28.193493754249022,-60.147221503349904,5.799253938995513
-42.316570642815385,-19.275530811488316,-28.432815832094537,-60.468151684622505,6.406822428652707
-43.751761115479226,-19.298976450159053,-30.132328062684277,-59.661605653280965,6.852545220375588
-44.771625906747346,-20.22483436962791,-31.158591679741384,-59.07268672016431,7.296457714135546
-44.98858442521493,-21.246359411565287,-31.392057404790627,-60.79083030212072,7.716203962354623
-45.070617697476294,-21.844819156978318,-33.19911456293846,-62.28117267327344,8.683972448026667
-46.0219589984314,-22.59502205020866,-33.81121710943133,-63.398657282602315,9.260176491013617
-47.65431521131589,-22.408389824656265,-33.528488223158334,-65.2931868713959,9.807817042432866
-46.86032172803997,-22.50202381386239,-34.8758411593378,-66.67725817982516,10.590715960243983
-48.024973068708945,-23.10362503990993,-35.75491310234427,-67.1505826015183,11.385785494588635
-47.8247977336808,-23.648178657835423,-36.77264224206241,-66.82425455517607,12.01407277933762
-49.53562515977179,-23.021739634564614,-37.855768290959546,-67.97634407198551,12.6508428673123
-50.84559411495992,-23.09954329858622,-38.501266529529595,-67.55919265272433,13.45045227365101
-51.15513879086292,-23.248081840999834,-39.809445150889765,-67.57011851836059,14.197825278862345
-52.57107893828,-23.95312841978934,-40.85527035886288,-67.48946042258636,14.972595521621002
-54.40105684277026,-24.8870378078935,-41.86426860554084,-65.92923058414087,15.834693577312866
-56.51411360600899,-25.01792805025211,-42.110212809972175,-66.44709300809296,16.954783363497697
-57.160351678755056,-26.016025691877914,-42.979858137615125,-66.10749190309255,17.76527618721918
-58.02447358764037,-26.787060565445863,-44.18652636802033,-66.50139860791666,18.677454328781256
-58.168320915442166,-27.213564638182127,-45.002260393951445,-67.47005978454084,19.74037472275364
-58.67917852984683,-27.75709573100416,-46.57713877357879,-66.46757539073879,20.77693337668631
-58.867622930753484,-27.67770240180385,-48.00920187474496,-67.1962127531089,22.18633427694656
-60.44334096622671,-27.839848561317332,-49.79463484399115,-66.53211623586168,23.244107058744387
-60.8253645055332,-29.268991961181676,-50.20906442413942,-65.0328980197336,24.44078986775753
-61.830125846173644,-30.168094391555275,-50.54597165658674,-65.06669026468235,25.520433813457778
-62.642606165479876,-30.539469477199674,-52.14533379104795,-64.66281883031355,26.59012721120154
-62.9852268587987,-31.678266796447716,-52.81943450447899,-65.45061242306417,27.438681302752276
-62.762732741647085,-31.509729901906535,-54.39318751034667,-66.49064459526221,28.211467886795436
-62.999920786377004,-31.460335778736678,-55.17007983918092,-68.03877317740401,29.073695348915113
-63.15000383990579,-31.982260972366568,-56.05487396459062,-69.13836118135754,29.60627188153498
-61.82553627511703,-32.94027061197035,-57.5297229515938,-69.21794744476554,30.478426278723354
-62.45673201693123,-33.56227966199481,-58.59472853107516,-68.2222248896697,31.789583892421053
-62.46020960205977,-33.89204092923925,-58.90102372360311,-69.30883451047795,32.53790853084116
-62.92531627584815,-34.84322494549842,-59.28129447231727,-68.2355606758921,33.83464550505074
-63.96272498783395,-35.06842200075466,-57.87364468436493,-69.1776387196415,34.73576211685151
-63.75514879374949,-35.77902818567628,-58.92328829581135,-68.9906806475411,35.277266680194046
-64.22831021592037,-35.74748545387069,-59.084288017256725,-69.11642888270381,36.42086737900311
-63.64607797589633,-36.744422860218634,-60.21790323382368,-68.79182333051027,36.97480216180175
-64.69736277193071,-36.649253897132425,-60.989579545156666,-68.1639777291187,37.95570761438075
-64.91987043035486,-36.90992882834028,-61.74760823899729,-68.52603470676937,39.06928571138847
-66.09094257447451,-37.08413598458713,-62.925920189713814,-69.0387848680408,39.383879605938745
-65.89547751445376,-37.5205796877347,-63.99755329188041,-69.6137511957016,40.40776758929268
-66.69449313725943,-38.23041548998546,-63.982670444149385,-68.7673902498977,41.88467190510134
-66.70366986870167,-38.846227525574825,-64.0227962233582,-68.76443496777998,43.077447874493785
-65.99684144577186,-39.041444638180586,-64.34997679476317,-69.52284457209882,44.09465853324484
-66.80268093577928,-38.92142302155132,-64.15330230638013,-68.87392637797487,45.4119986218106
-66.7478876689868,-39.09786729747881,-65.16898624926617,-69.81947553878739,45.82139584952498
